Outline Level,ID,Name,Start,Finish,Duration,Predecessors,Resource Names,Notes,Description Action,Interactions & Communication,Actions Transversales
1,1,"PHASE 1 : LANCEMENT ET CADRAGE",2025-11-17,2025-12-12,20 day,,"Chef de Projet,DG,Sénior Manager","<p><strong>Enjeux :</strong> Mise en place administrative rigoureuse.</p>","Supervision globale","Interne & Client","Supervision DG et SM"
2,2,"Initialisation Administrative & Financière",2025-11-17,2025-11-21,5 day,,"Admin,Responsable Financier","<p>Mise en place du socle de gestion.</p>","Initialisation","Interne","Gestion Contractuelle"
3,3,"Création de la structure d'archivage (Physique & Numérique)",2025-11-17,2025-11-17,1 day,,"Admin","<p>Selon procédure ISO.</p>","Créer les classeurs chronos et l'arborescence sur le NAS sécurisé.","Interne : Notification emplacement réseau.","Conformité ISO 9001"
3,4,"Saisie du budget initial dans Odoo",2025-11-17,2025-11-18,1 day,3FS,"Responsable Financier","<p>Module Projet/Compta.</p>","Saisir les lignes budgétaires prévues et le plan de trésorerie.","Interne : Validation par le RAF.","Suivi Budgétaire"
3,5,"Traitement de la Caution de démarrage",2025-11-18,2025-11-20,3 day,4FS,"Responsable Financier","<p>Relation Banque.</p>","Constituer le dossier bancaire et obtenir la mainlevée.","Interne/Banque : Courriers bancaires.","Trésorerie"
3,6,"Signature Note de Nomination Équipe",2025-11-21,2025-11-21,1 day,5FS,"DG","<p>Document officiel.</p>","Rédiger et faire signer la note de service nommant le CP et l'équipe.","Interne : Diffusion mail général.","RH / Management"
2,7,"Cadrage Technique Interne",2025-11-17,2025-11-21,5 day,,"Tech Lead,Responsable Qualité","<p>Préparation des outils.</p>","Setup Technique","Interne","Qualité"
3,8,"Provisioning Environnement Odoo (Dev/Staging)",2025-11-17,2025-11-19,3 day,,"DevOps","<p>Serveurs Linux.</p>","Installer Ubuntu, PostgreSQL, Odoo 18 Ent, Gitlab CI/CD.","Interne : Accès SSH à l'équipe.","Infra"
3,9,"Rédaction du Plan d'Assurance Qualité (PAQ)",2025-11-19,2025-11-21,3 day,8FS,"Responsable Qualité","<p>Document maitre.</p>","Définir RACI, Matrice des risques, KPI, Processus de validation.","Interne : Revue avec le CP.","Assurance Qualité"
2,10,"Démarrage Client (Kick-off)",2025-11-24,2025-11-28,5 day,9FS,"Chef de Projet,Admin","<p>Lancement officiel.</p>","Kick-off","Client","Relation Client"
3,11,"Préparation Support de présentation (PPT)",2025-11-24,2025-11-25,1 day,,"Chef de Projet","<p>Slide deck.</p>","Préparer les slides : Méthodologie Agile, Planning, Equipe, Risques.","Interne : Validation par SM.","Communication"
3,12,"Tenue de la Réunion de Démarrage",2025-11-26,2025-11-26,1 day,11FS,"Tout le monde","<p>Chez le client.</p>","Présenter le projet, valider les interlocuteurs, fixer les ateliers.","Client : Réunion présentielle.","Communication"
3,13,"Rédaction et Envoi du PV de Démarrage",2025-11-27,2025-11-28,1 day,12FS,"Admin","<p>Délai 24h.</p>","Rédiger le PV, faire valider en interne, envoyer par courrier/mail.","Client : Envoi officiel.","Administratif"
2,14,"Diagnostic & Analyse Existant",2025-12-01,2025-12-12,10 day,12FS,"Consultants","<p>Terrain.</p>","Audit","Client","Analyse"
3,15,"Audit Infrastructure (Siège & Agences Pilotes)",2025-12-01,2025-12-05,5 day,,"Architecte Réseau","<p>Déplacements.</p>","Vérifier bande passante, matériel caisse, serveurs existants.","Client : Visites techniques.","Infra"
3,16,"Analyse des données existantes (Qualité des données)",2025-12-01,2025-12-05,5 day,,"Data Analyst","<p>Oracle/Excel.</p>","Analyser la structure de la base actuelle, identifier doublons/erreurs.","Interne : Rapport qualité données.","Migration"
